路段起点,路段终点,2020,2021,2022,2023,2024,技术等级,面层类型,车道数量,路基宽度,路面宽度,面层厚度,修建年度,养护里程（公里）,已绿化里程（公里）,高边坡数量,高边坡长度,涵洞数量
6438,6439,62.26,61.054,75.8,60.42,34.132,4,2,2,6.5,6,24,1962,5.5,3.697,0,0,9
6439,6440,90,94.06,77.17,75.104,82.79,4,2,2,6.5,6,24,1962,5.5,3.697,0,0,9
6440,6441,89.2,96.25,77.61,75.104,81.878,4,2,2,6.5,6,24,1962,5.5,3.697,0,0,9
6441,6442,87.6,80.52,87.05,74.98,74.338,4,2,2,6.5,6,24,1962,5.5,3.697,0,0,9
6442,6443,89.8,97.51,75.83,82.372,81.328,4,2,2,6.5,6,24,1962,5.5,3.697,0,0,9
6443,6444,76.46,91.74,92.97,84.064,83.13,4,1,2,6.5,6,5,1962,0.904,0.904,0,0,2
6444,6445,100,100,96.57,67.834,90.18,4,1,2,6.5,6,5,1962,12.939,8.577,0,0,29
6445,6446,100,95.08,96.97,68.886,78.38,4,1,2,6.5,6,5,1962,12.939,8.577,0,0,29
6446,6447,88.8,92.23,97.02,91.03,74.09,4,1,2,6.5,6,5,1962,12.939,8.577,0,0,29
6447,6448,92.7,92.28,96.58,79.57,88.62,4,1,2,6.5,6,5,1962,12.939,8.577,0,0,29
6448,6449,92.7,96.13,96.79,79.16,84.15,4,1,2,6.5,6,5,1962,12.939,8.577,0,0,29
6449,6450,92.5,97.09,96.93,90.29,83.35,4,1,2,6.5,6,5,1962,12.939,8.577,0,0,29
6450,6451,98.1,91.66,96.35,80.29,51.93,4,1,2,6.5,6,5,1962,12.939,8.577,0,0,29
6451,6452,94.5,84.25,96.59,85.84,44.85,4,1,2,6.5,6,5,1962,12.939,8.577,0,0,29
6452,6453,82.6,84.82,97.3,50.14,62.59,4,1,2,6.5,6,5,1962,12.939,8.577,0,0,29
