路线编码,路段起点,路段终点,2020,2021,2022,2023,2024,技术等级,面层类型,车道数量,路基宽度,路面宽度,面层厚度,"修建
年度","养护里程
（公里）","已绿化里程
（公里）",地貌,高边坡数量,高边坡长度,涵洞数量
G318,4072,4073,91.4,62.83,43.07713239,70.2737314,61.93,三级公路,沥青,2,7.5,6,4,1954,0.344,0.344,山岭,0,0,0
G318,4073,4074,90.89804668,88.74,36.96029421,65.79374564,67.36,三级公路,沥青,2,7.5,6,4,1954,1.862,1.862,山岭,0,0,6
G318,4074,4075,93.4,89.79,57.9126701,83.51219614,56.05,三级公路,沥青,2,7.5,6,4,1954,1.862,1.862,山岭,0,0,6
G318,4075,4076,93.9,90.86,60.49202037,88.16619977,51,三级公路,沥青,2,12,11.3,4,1954,1.339,1.339,山岭,0,0,3
G318,4076,4077,94.1,92.16,61.67684685,87.97242316,38.87,三级公路,沥青,2,7.5,6,4,1954,0.388,0.388,山岭,1,32,10
G318,4077,4078,86.6,90.01,47.02799149,74.82484964,52.31,三级公路,沥青,2,12,11.3,4,1954,0.667,0.667,山岭,0,0,1
G318,4078,4079,89.6,93.44,46.44452988,73.4974436,60.56,三级公路,沥青,2,12,11.3,4,1954,0.476,0.476,山岭,0,0,1
G318,4079,4080,90.6,92.49,45.00158029,71.11734735,55.19,三级公路,沥青,2,7.5,6,4,1954,0.723,0.723,山岭,0,0,10
G318,4080,4081,93.6,85.28,58.69819107,83.99796284,67.74,三级公路,沥青,2,12,11.3,4,1954,0.75,0.75,山岭,0,0,2
G318,4081,4082,89.12504869,80.87096011,44.32728691,73.68209404,71.54,三级公路,沥青,2,7.5,6,4,1954,0.314,0.314,山岭,0,0,2
G318,4082,4083,88.4,91.28,45.47122788,74.58769067,94.24,三级公路,沥青,2,7.5,6,4,1954,0.314,0.314,山岭,0,0,2
G318,4083,4084,85.3,91.19,47.55627768,74.64838096,69,三级公路,沥青,2,12,11.3,4,1954,2.771,2.771,山岭,0,0,7
G318,4084,4085,83.7,91.37,46.81544784,75.25479959,90.56,三级公路,沥青,2,12,11.3,4,1954,2.771,2.771,山岭,0,0,7
G318,4085,4086,90.7,93.51,43.1532229,69.81344558,71.66,三级公路,沥青,2,12,11.3,4,1954,2.771,2.771,山岭,0,0,7
G318,4086,4087,91.4,93.22,43.07713239,70.2737314,79.62,三级公路,沥青,2,12,11.3,4,1954,6.151,6.151,山岭,0,0,30
G318,4087,4088,88.3,93.22,47.24863057,74.58769067,77.67,三级公路,沥青,2,12,11.3,4,1954,6.151,6.151,山岭,0,0,30
G318,4088,4089,57.8,88.62,45.96675338,75.14405997,72.36,三级公路,沥青,2,12,11.3,4,1954,6.151,6.151,山岭,0,0,30
G318,4089,4090,93.3,91.51,57.9126701,81.63716087,66.85,三级公路,沥青,2,12,11.3,4,1954,6.151,6.151,山岭,0,0,30
G318,4090,4091,90.5,88.97,46.06768709,71.11734735,64.1,三级公路,沥青,2,12,11.3,4,1954,6.151,6.151,山岭,0,0,30
G318,4091,4092,87.8,85.14,45.58067108,74.58769067,75.59,三级公路,沥青,2,12,11.3,4,1954,6.151,6.151,山岭,0,0,30
G318,4092,4093,88.1,81.96,47.24863057,74.58769067,61.25,三级公路,沥青,2,12,11.3,4,1954,1.663,1.663,山岭,0,0,8
G318,4093,4094,88.4,87.84,45.47122788,74.58769067,62.62,三级公路,沥青,2,12,11.3,4,1954,1.663,1.663,山岭,0,0,8
G318,4094,4095,85.4,80.81,47.55627768,74.64838096,92.77,三级公路,沥青,2,7.5,6,4,1954,0.934,0.934,山岭,0,0,6
G318,4095,4096,92.5,93.98,51.44621311,80.789224,82.3,三级公路,沥青,2,12,11.3,4,1954,1.521,1.521,山岭,0,0,4
G318,4096,4097,92.9,93.26,52.35560007,79.59089491,92.69,三级公路,沥青,2,7.5,6,4,1954,0.106,0.106,山岭,1,100,0
G318,4097,4098,94.4,93.68,73.35,93.81,88.85,三级公路,沥青,2,7.5,6,4,1954,1.446,1.446,山岭,0,0,5
G318,4098,4099,91.8,87.53,74.5,90.17,77.16,三级公路,沥青,2,7.5,6,4,1954,1.446,1.446,山岭,0,0,5
G318,4099,4100,93.3,85.43,62.1,82.48,75.81,三级公路,沥青,2,12,11.3,4,1954,2.835,2.835,山岭,0,0,8
G318,4100,4101,87.2,78.63,45.96,78.14,76.54,三级公路,沥青,2,12,11.3,4,1954,2.835,2.835,山岭,0,0,8
G318,4101,4102,90.9,81.87,36.93,65.19600506,56.34,三级公路,沥青,2,12,11.3,4,1954,2.835,2.835,山岭,0,0,8
G318,4102,4103,92.32562232,92.25,81.61,87.78,77.13097472,三级公路,沥青,2,7.5,6,4,1954,2.649,0.827,山岭,0,0,9
G318,4103,4104,95.6,92.12,87.87,91.94,83.0537087,三级公路,沥青,2,7.5,6,4,1954,2.649,0.827,山岭,0,0,9
G318,4104,4105,94.6,88.85,80.62,87.36,83.0537087,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4105,4106,94.9,88.39,71.03,80.36,83.0537087,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4106,4107,93.5,84.46,63.01,76.7,79.17587539,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
