路号,路段起点,路段终点,2020,2021,2022,2023,2024,技术等级,面层类型,车道数量,路基宽度,路面宽度,面层厚度,"修建
年度","改建
年度","养护里程
（公里）","已绿化里程
（公里）",高边坡数量,高边坡长度,涵洞数量
S205,575,576,80.32701694,63.66895289,26.82392291,52.03145474,63.16,4,3,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,576,577,82.39979239,73.84,36.59117448,68.98222955,61.93,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,577,578,68.15620041,43.39,27.92368143,39.93814344,72.94,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,578,579,68.6,60.97,34.01309964,40.09804314,70.47,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,579,580,79.6,69.98,33.9446908,53.10707182,71.54,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,580,581,82.6,66.56,32.63294547,64.1556796,69.86,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,581,582,81.6,67.11,33.29742512,56.77643647,70.83,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,582,583,82,64.71,33.85408156,55.54816549,67.36,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,583,584,75.5,58.88,32.40746391,45.53004351,70.1,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,584,585,73.8,61.52,27.22371646,44.1613818,64.23,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,585,586,76.2,58.4,30.41727455,45.27793562,59.86,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,586,587,74.9,51.22,30.62483192,44.53290243,68.87,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,587,588,78.9,55.53,30.40250157,51.10155759,74.07,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,588,589,81.1,73.16,33.47615585,58.08861004,72.59,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,589,590,83.6,64.71,31.59127982,64.3563206,73.16,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,590,591,84,64.63,32.87470097,63.24941221,61.25,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,591,592,84.2,61.66,33.93586154,64.14864166,63.02,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,592,593,85,70.02,37.36525425,65.46491103,60.84,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,593,594,78.7,63.02,30.2863149,50.42225621,62.07,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,594,595,79.8,63.56,25.65070092,51.48906028,48.54,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,595,596,73.7,57.58,23.23103684,42.0355779,42.08,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,596,597,56.2,35.22,25.99498652,39.96901067,47.82,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,597,598,76.7,56.49,26.78121641,48.03238672,43.93,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,598,599,68.8,44.93,27.08441471,40.08438677,46.37,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,599,600,72.3,52.85,35.18526855,44.28897181,65.16,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,600,601,71.4,48.97,29.82675799,44.99060687,76.75,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,601,602,79.3,67.36,30.48467962,54.09633291,67.11,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,602,603,82.1,71.12,38.39182697,66.28486261,67.87,4,1,1,5,4.5,4,1998,2014,28,27.802,0,0,51
S205,603,604,87.43288834,57.41,62.35296301,71.59516189,75.49,4,1,2,7.5,6,5,1954,1997,34.681,34.681,0,0,109
S205,759,760,89.69434332,71.76953341,63.12907095,77.68684498,81.17,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,760,761,89.53910818,63.83,49.10057683,72.74660254,84.23,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,761,762,89.89211513,74.62,61.88103933,79.08548469,90.36,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,762,763,91.9704155,83.85,67.76563841,83.06944526,89.03,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,763,764,93.20950258,83.69,67.62914774,83.10759842,93.65,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,764,765,93.58047828,90.66,70.1593083,80.85478269,65.42,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,765,766,88.55311426,50.3,55.29987755,68.29829297,93.82,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,766,767,92.78574815,89.69,67.42789169,74.6005863,92.57,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,767,768,92.55016284,87.2,65.96873644,80.97146485,92.73,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,768,769,92.32848081,84.84,67.46199279,83.10759842,91.99,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,769,770,92.39288584,83.37,68.19395159,83.7313218,81.52,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,770,771,88.98140851,59.44,56.87426173,71.85570264,79.62,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,771,772,89.1088676,60.56,54.43540895,72.14236277,83.37,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,772,773,88.89159993,71.07,64.08165999,77.86659,85.93,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,773,774,89.57989453,73.08,62.4804577,78.9636374,89.42,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,774,775,91.80790799,80.72,68.14484616,83.26796002,80.45,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,775,776,88.27064969,53.03,54.88044336,72.95339175,89.95,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,776,777,90.44517872,77.57,62.29563112,78.90999842,87.59,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,777,778,90.66424686,77.87,61.64695344,79.08548469,93.29,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,778,779,91.82438098,88.62,67.60084438,83.06944526,89.74,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,779,780,91.37691514,81.87,66.94686257,80.83570041,90.26,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,780,781,92.18805536,87.78,67.25282232,81.11163005,88.8,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,781,782,91.41468489,82.13,66.94686257,80.9114978,88.91,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,782,783,90.8032002,76.86,59.99359176,78.75529134,86.07,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,783,784,88.43129367,47.53,52.3948848,72.67768908,89.74,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,784,785,92.44213569,84.31,67.92887954,83.14260341,82.21,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,785,786,89.52493552,65.68,56.09686386,73.42645316,75.59,3,1,2,7.5,6.5,5,1965,2012,27.322,25,0,0,67
S205,786,787,88.65362147,83.04,57.45155125,71.50427581,43.93,3,2,2,8,7,22,1965,2012,0.685,0.685,0,0,0
S205,787,788,84.02171874,55.56768118,20.04739814,47.44951221,36.29,4,1,1,6,4,4,1965,2012,4.014,3.21,1,486,5
S205,788,789,74.20593677,31.86,17.26463774,37.1998081,49.12,4,1,1,6,4,4,1965,2012,4.014,3.21,1,486,5
S205,789,790,80.7,55.62,23.67616877,50.15503963,56.34,4,1,1,6,4,4,1965,2012,4.014,3.21,1,486,5
S205,790,791,80.6,48.68,22.33505213,46.77280951,56.19,4,1,1,6,4,4,1965,2012,4.014,3.21,1,486,5
S205,791,792,76.2,49.98,27.71735145,51.24225406,86.2,4,1,1,4,3.5,22,1965,2012,1.07,1.07,1,302,4
S205,792,793,71.26473304,43.5,29.20723032,46.95387791,54.11226791,4,2,1,4,3.5,22,1965,2012,30.93,30.786,0,0,58
S205,793,794,78.8,34.65,26.06204773,49.82440995,51.0306409,4,2,1,4,3.5,22,1965,2012,30.93,30.786,0,0,58
S205,794,795,52.60723873,26.28,28.98046933,41.57089338,45.22333225,4,2,1,4,3.5,22,1965,2012,30.93,30.786,0,0,58
S205,795,796,62.7,32.75,26.56598032,41.36099775,51.0306409,4,2,1,4,3.5,22,1965,2012,30.93,30.786,0,0,58
S205,796,797,56.8,26.49,28.98046933,41.57089338,89.74,4,2,1,4,3.5,22,1965,2012,30.93,30.786,0,0,58
